,num_observations,rel_error,seed,signal_dimension,sparsity
408,41,0.07382093298744317,0,100,7
409,45,0.0727921289537119,0,100,7
410,48,0.07824838320067169,0,100,7
411,52,0.0723222558647586,0,100,7
412,57,0.07299281216346515,0,100,7
413,62,0.07331616341979603,0,100,7
414,67,0.0720412448105995,0,100,7
415,72,0.07216095255742741,0,100,7
416,78,0.06751767945049426,0,100,7
417,85,0.07014629155822842,0,100,7
418,92,0.06606416505924449,0,100,7
419,100,0.06528638859507511,0,100,7
420,10,1.0861326010489394,0,100,9
421,10,1.0861326010489394,0,100,9
422,11,0.9869124731387963,0,100,9
423,12,1.010092761910765,0,100,9
424,13,0.8322600518581996,0,100,9
425,14,0.9301652102110443,0,100,9
426,16,0.9982898222057237,0,100,9
427,17,1.0208291381032033,0,100,9
428,18,0.8021199070705584,0,100,9
429,20,0.7752213134787554,0,100,9
430,22,0.8162721698568441,0,100,9
431,23,0.7938533594825006,0,100,9
432,25,0.7582106400438083,0,100,9
433,28,0.1323642028134817,0,100,9
434,30,0.09005976101423298,0,100,9
435,32,0.09512500023047883,0,100,9
436,35,0.08925229110349557,0,100,9
437,38,0.0985563537141726,0,100,9
438,41,0.09158499768931395,0,100,9
439,45,0.08984180277909248,0,100,9
440,48,0.09346587505364985,0,100,9
441,52,0.08516441499890108,0,100,9
442,57,0.09220382132428884,0,100,9
443,62,0.09603530692261615,0,100,9
444,67,0.10048762825201081,0,100,9
445,72,0.0981759457032097,0,100,9
446,78,0.09794187284299681,0,100,9
447,85,0.09847060448693555,0,100,9
448,92,0.09367153123006124,0,100,9
449,100,0.09380873666282984,0,100,9
450,10,1.1233522769882898,0,100,10
451,10,1.1233522769882898,0,100,10
452,11,1.131034303772675,0,100,10
453,12,1.1247354971320622,0,100,10
454,13,0.9749086427582274,0,100,10
455,14,0.9700788612952154,0,100,10
456,16,0.9535990995244858,0,100,10
457,17,0.9654188910136008,0,100,10
458,18,0.7225556046046683,0,100,10
459,20,0.725721399586106,0,100,10
460,22,0.7582625800230474,0,100,10
461,23,0.7778130861564538,0,100,10
462,25,0.8042271951789081,0,100,10
463,28,0.15542712581046458,0,100,10
464,30,0.1459720437119057,0,100,10
465,32,0.13513422440273645,0,100,10
466,35,0.09988721727251224,0,100,10
467,38,0.10856829272206363,0,100,10
468,41,0.10560927426957831,0,100,10
469,45,0.10743309549855758,0,100,10
470,48,0.11047430196389287,0,100,10
471,52,0.09665405977577846,0,100,10
472,57,0.10378048205038774,0,100,10
473,62,0.10770573554786314,0,100,10
474,67,0.11311710098701314,0,100,10
475,72,0.10984520110844409,0,100,10
476,78,0.11137977981462698,0,100,10
477,85,0.1135606350272383,0,100,10
478,92,0.10373825157606759,0,100,10
479,100,0.10389801932314814,0,100,10
480,10,1.051439975055524,0,100,12
481,10,1.051439975055524,0,100,12
482,11,1.1184248373738914,0,100,12
483,12,1.0978463979540314,0,100,12
484,13,1.0628465095379023,0,100,12
485,14,0.9732915085606376,0,100,12
486,16,0.9279119279094068,0,100,12
487,17,1.0690820427227896,0,100,12
488,18,0.8752064389942893,0,100,12
489,20,0.8206342261370531,0,100,12
490,22,0.7910684002884105,0,100,12
491,23,0.8147570777170223,0,100,12
492,25,0.7741919761271208,0,100,12
493,28,0.2704078506146469,0,100,12
